cmname,price
Tomatoes - Retail,73.54
Tomatoes - Retail,80
Tomatoes - Retail,49.46
Tomatoes - Retail,36.75
Tomatoes - Retail,28.08
Groundnuts (unshelled) - Retail,149
Groundnuts (unshelled) - Retail,149
Groundnuts (unshelled) - Retail,149.23
Groundnuts (unshelled) - Retail,150.36
Groundnuts (unshelled) - Retail,149.5
Groundnuts (unshelled) - Retail,150.43
Groundnuts (unshelled) - Retail,156
Groundnuts (unshelled) - Retail,156
Groundnuts (unshelled) - Retail,155.36
Groundnuts (unshelled) - Retail,156
Groundnuts (unshelled) - Retail,156
Groundnuts (unshelled) - Retail,144.46
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",200
"Meat (beef, chops with bones) - Retail",232
"Meat (beef, chops with bones) - Retail",232
"Meat (beef, chops with bones) - Retail",232
"Meat (beef, chops with bones) - Retail",232
"Meat (beef, chops with bones) - Retail",232
"Meat (beef, chops with bones) - Retail",234
"Meat (beef, chops with bones) - Retail",234
"Meat (beef, chops with bones) - Retail",235.54
"Meat (beef, chops with bones) - Retail",235.83
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
"Meat (beef, chops with bones) - Retail",236
